#  raio      kapbf      kapff      sigmae      kaptot     densidade
  0.612D-01  0.290D+01  0.383D+00  0.341D+00  0.363D+01   0.145D+03
  0.587D-01  0.279D+01  0.368D+00  0.341D+00  0.349D+01   0.149D+03
  0.563D-01  0.267D+01  0.352D+00  0.341D+00  0.336D+01   0.154D+03
  0.537D-01  0.255D+01  0.337D+00  0.341D+00  0.323D+01   0.159D+03
  0.512D-01  0.243D+01  0.321D+00  0.341D+00  0.310D+01   0.165D+03
  0.488D-01  0.232D+01  0.306D+00  0.341D+00  0.296D+01   0.171D+03
  0.462D-01  0.220D+01  0.290D+00  0.341D+00  0.283D+01   0.177D+03
  0.437D-01  0.208D+01  0.274D+00  0.341D+00  0.269D+01   0.184D+03
  0.413D-01  0.195D+01  0.258D+00  0.341D+00  0.255D+01   0.192D+03
  0.387D-01  0.183D+01  0.242D+00  0.341D+00  0.241D+01   0.201D+03
  0.362D-01  0.171D+01  0.225D+00  0.341D+00  0.227D+01   0.212D+03
  0.338D-01  0.158D+01  0.209D+00  0.341D+00  0.213D+01   0.223D+03
  0.312D-01  0.145D+01  0.191D+00  0.341D+00  0.198D+01   0.237D+03
  0.288D-01  0.132D+01  0.174D+00  0.341D+00  0.183D+01   0.253D+03
  0.262D-01  0.119D+01  0.156D+00  0.341D+00  0.168D+01   0.272D+03
  0.238D-01  0.105D+01  0.139D+00  0.341D+00  0.153D+01   0.295D+03
  0.213D-01  0.911D+00  0.120D+00  0.341D+00  0.137D+01   0.324D+03
  0.187D-01  0.772D+00  0.102D+00  0.341D+00  0.122D+01   0.360D+03
  0.163D-01  0.633D+00  0.836D-01  0.341D+00  0.106D+01   0.408D+03
  0.138D-01  0.495D+00  0.653D-01  0.341D+00  0.901D+00   0.474D+03
  0.112D-01  0.361D+00  0.476D-01  0.341D+00  0.749D+00   0.570D+03
  0.875D-02  0.235D+00  0.311D-01  0.341D+00  0.607D+00   0.717D+03
  0.625D-02  0.126D+00  0.166D-01  0.341D+00  0.484D+00   0.971D+03
  0.375D-02  0.441D-01  0.582D-02  0.341D+00  0.391D+00   0.148D+04
  0.125D-02  0.410D-02  0.542D-03  0.341D+00  0.346D+00   0.283D+04
